club_id,club_name,league_code,stadium_name,stadium_capacity,budget
520,Brugge KS,BE1,Jan Breydelstadion,29062,5370000
2282,Club Brugge,BE1,Jan Breydelstadion,29062,21580000
9010,F.C.V. Dender E.H.,BE1,Dender Football Complex,6429,3970000
41274,K Beerschot VA,BE1,Olympisch Stadion,12771,5330000
157,K.A.A. Gent,BE1,Planet Group Arena,20185,15610000
1184,K.R.C. Genk,BE1,Cegeka Arena,22889,16490000
601,KV Kortrijk,BE1,Guldensporenstadion,8974,4670000
354,KV Mechelen,BE1,AFAS Stadion,16672,5150000
968,KVC Westerlo,BE1,Het Kuipje,8035,3900000
2727,Oud-Heverlee Leuven,BE1,King Power at Den Dreef Stadion,9809,5000000
58,R.S.C. Anderlecht,BE1,Lotto Park,21900,19080000
3948,RU Saint-Gilloise,BE1,Stade Joseph Mariën,9512,9670000
1096,Royal Antwerp FC,BE1,De Bosuil,16152,21720000
172,Royal Charleroi SC,BE1,Stade du Pays de Charleroi,15113,6230000
3057,Royal SC de Liège,BE1,Maurice Dufrasne Stadion,27221,12400000
475,Sint-Truidense V.V.,BE1,Daio Wasabi Stayen Stadium,11756,4930000
1053,Aalborg Boldspilklub,DK1,Aalborg Portland Park,13800,3000000
678,Aarhus GF,DK1,Ceres Park Vejlby,12000,4030000
206,Brøndby IF,DK1,Brøndby Stadion,28000,6470000
190,FC København,DK1,Parken,38065,13160000
865,FC Midtjylland,DK1,MCH Arena,12152,11760000
2778,FC Nordsjælland,DK1,Right to Dream Park,10300,4010000
369,Lyngby Boldklubben,DK1,Lyngby Stadion,10000,1570000
5724,Randers FC,DK1,Cepheus Park Randers,10300,3790000
1177,Silkeborg IF,DK1,JYSK Park,10000,3300000
5817,Sønderjyske Fodbold,DK1,Sydbank Park,10000,1880000
443,Vejle Boldklub,DK1,Vejle Stadion,10418,1480000
1063,Viborg FF,DK1,Viborg Stadion,10000,2880000
621,Athletic Club Bilbao,ES1,San Mamés,53289,18280000
13,Atlético de Madrid,ES1,Riyadh Air Metropolitano,70460,67760000
331,CA Osasuna,ES1,El Sadar,23576,4740000
1244,CD Leganés,ES1,Butarque,12454,4590000
1108,Deportivo Alavés,ES1,Mendizorroza,19840,4370000
714,Espanyol,ES1,RCDE Stadium,40500,5750000
131,FC Barcelona,ES1,Olímpic Lluís Companys,55926,120740000
3709,Getafe CF,ES1,Coliseum,16800,8170000
12321,Girona FC,ES1,Montilivi,14624,3580000
940,RC Celta Vigo,ES1,Abanca Balaídos,24870,11630000
237,RC Deportivo Mallorca,ES1,Mallorca Son Moix,26020,3260000
367,Rayo Vallecano,ES1,Estadio de Vallecas,14708,3260000
150,Real Betis,ES1,Benito Villamarín,60721,15870000
418,Real Madrid CF,ES1,Santiago Bernabéu,81044,176750000
681,Real Sociedad,ES1,Reale Arena,39313,15560000
366,Real Valladolid,ES1,José Zorrilla,27618,3430000
368,Sevilla FC,ES1,Ramón Sánchez-Pizjuán,43883,34320000
472,UD Las Palmas,ES1,Estadio de Gran Canaria,32400,6220000
1049,Valencia CF,ES1,Mestalla,49430,59280000
1050,Villarreal CF,ES1,La Cerámica,23500,32540000
290,AJ Auxerre,FR1,Stade de l'Abbé-Deschamps,18541,7110000
162,AS Monaco,FR1,Stade Louis-II,18525,40860000
618,AS Saint-Étienne,FR1,Stade Geoffroy-Guichard,41965,8740000
1420,Angers SCO,FR1,Stade Raymond Kopa,19350,7990000
995,FC de Nantes,FR1,Stade de la Beaujoire,35322,14080000
738,Le Havre AC,FR1,Stade Océane,25178,6380000
1082,Lille Olympique SC,FR1,Decathlon Arena-Stade Pierre-Mauroy,50186,19760000
969,Montpellier Hérault SC,FR1,Stade de la Mosson,22000,11630000
417,OGC Nice,FR1,Allianz Riviera,36178,22920000
1041,Olympique Lyonnais,FR1,Groupama Stadium,59186,50500000
244,Olympique de Marseille,FR1,Orange Vélodrome,67394,38290000
583,PSG,FR1,Parc des Princes,48583,235380000
667,RC Strasbourg Alsace,FR1,Stade de la Meinau,26109,12970000
826,RC de Lens,FR1,Stade Bollaert-Delelis,38223,16440000
3911,Stade Brestois 29,FR1,Stade Francis-Le Blé,15220,9600000
273,Stade Rennais FC,FR1,Roazhon Park,29778,20910000
1421,Stade de Reims,FR1,Stade Auguste-Delaune,20519,12330000
415,Toulouse FC,FR1,Stadium Municipal,33150,10750000
989,AFC Bournemouth,GB1,Vitality Stadium,11307,21220000
11,Arsenal FC,GB1,Emirates Stadium,60704,113340000
405,Aston Villa FC,GB1,Villa Park,42918,62080000
1148,Brentford FC,GB1,Gtech Community Stadium,17250,21600000
1237,Brighton,GB1,AMEX Stadium,31876,41060000
631,Chelsea FC,GB1,Stamford Bridge,40173,141500000
873,Crystal Palace FC,GB1,Selhurst Park,25194,41430000
29,Everton FC,GB1,Goodison Park,39414,34300000
931,Fulham FC,GB1,Craven Cottage,25700,25990000
677,Ipswich Town FC,GB1,Portman Road,30017,3990000
1003,Leicester City FC,GB1,King Power Stadium,32259,43800000
31,Liverpool FC,GB1,Anfield,61276,148760000
281,Manchester City FC,GB1,Etihad Stadium,53400,213470000
985,Manchester United FC,GB1,Old Trafford,74879,245290000
762,Newcastle United FC,GB1,St James' Park,52258,88820000
703,Nottingham Forest FC,GB1,The City Ground,30404,20390000
180,Southampton FC,GB1,St Mary's Stadium,32384,30010000
148,Tottenham Hotspur FC,GB1,Tottenham Hotspur Stadium,62850,95640000
379,West Ham United FC,GB1,London Stadium,62500,55010000
543,Wolverhampton FC,GB1,Molineux Stadium,31750,40550000
6676,A.G.S Asteras Tripolis,GR1,Gipedo Theodoros Kolokotronis,7423,10000000
2441,AE Konstantinoupoleos,GR1,OPAP Arena,32500,10000000
2672,APO Levadiakos FC,GR1,Stadio Livadias,5915,10000000
3060,APS Atromitos Athinon,GR1,Stadio Peristeriou,9050,10000000
605,Aris Thessalonikis,GR1,Gipedo Kleanthis Vikelidis,22800,10000000
3062,Athens Kallithea FC,GR1,Apostolos Nikolaidis,16620,10000000
653,O.F.I. FC,GR1,Gipedo Theodoros Vardinogiannis,9088,10000000
683,Olympiakos S.F.P.,GR1,Stadio Georgios Karaiskakis,33345,10000000
1091,PAOK,GR1,Toumba Stadium,28703,10000000
3999,PAS Lamia 1964,GR1,Stadio Lamia,5500,10000000
265,Panathinaikos AO,GR1,Olympiakó Stádio Athinon,69618,10000000
6418,Panetolikos Agrinio,GR1,Gipedo Panetolikou,7321,10000000
3385,Panserraikos Serres,GR1,Dimotiko Gipedo Serron,9500,10000000
60949,Volou NPS,GR1,Panthessaliko Stadio,22700,10000000
430,AC Fiorentina,IT1,Artemio Franchi,43147,22770000
5,AC Milan,IT1,Giuseppe Meazza,75923,126110000
2919,AC Monza,IT1,Brianteo,17102,8340000
12,AS Roma,IT1,Olimpico di Roma,70634,28150000
800,Atalanta BC,IT1,Gewiss Stadium,24950,44270000
1025,Bologna FC 1909,IT1,Stadio Renato Dall’Ara,36462,31900000
1390,Cagliari Calcio,IT1,Unipol Domus,16365,8140000
1047,Calcio Como,IT1,Giuseppe Sinigaglia,13602,8480000
749,Empoli FC,IT1,Carlo Castellani,19847,5380000
252,Genoa FC,IT1,Luigi Ferraris,34901,15560000
46,Inter Milano,IT1,Giuseppe Meazza,75923,71640000
506,Juventus FC,IT1,Allianz Stadium,41507,128480000
130,Parma Calcio 1913,IT1,Ennio Tardini,22352,9080000
6195,S.S.C. Napoli,IT1,Diego Armando Maradona,54726,82950000
398,SS Lazio,IT1,Olimpico di Roma,70634,18670000
416,Torino Calcio,IT1,Olimpico Grande Torino,28177,18140000
